Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AbrahamSimpson	100.0	0.00132	IU	100.0	1.0						
AbrahamSimpson_R1						0.8333333333333286	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R2						0.7575757575757507	46.0	151.0	151	10.0	0.00132
BartSimpson	100.0	0.001328	IU	100.0	1.0						
BartSimpson_R1						0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2						0.6024096385542066	46.0	151.0	151	0.0	0.001328
HomerSimpson	100.0	0.00132	IU	100.0	1.0						
HomerSimpson_R1						0.6060606060606091	45.0	151.0	151	10.0	0.00132
HomerSimpson_R2						0.6060606060606091	46.0	151.0	151	0.0	0.00132
LisaSimpson	100.0	0.00132	IU	100.0	1.0						
LisaSimpson_R1						0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R2						0.37878787878787534	46.0	151.0	151	0.0	0.00132
MaggieSimpson	100.0	0.001328	IU	100.0	1.0						
MaggieSimpson_R1						0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R2						0.3765060240963862	46.0	151.0	151	10.0	0.001328
MargeSimpson	100.0	0.001328	IU	100.0	1.0						
MargeSimpson_R1						0.5271084337349379	46.0	151.0	151	10.0	0.001328
MargeSimpson_R2						0.7396449704142043	46.0	151.0	151	0.0	0.001352
PattyBouvier	100.0	0.00132	IU	100.0	1.0						
PattyBouvier_R1						0.5303030303030312	46.0	151.0	151	0.0	0.00132
PattyBouvier_R2						0.5208333333333428	46.0	151.0	151	10.0	0.001344
SelmaBouvier	100.0	0.001328	IU	100.0	1.0						
SelmaBouvier_R1						0.22590361445783458	45.0	151.0	151	10.0	0.001328
SelmaBouvier_R2						0.5917159763313578	46.0	151.0	151	10.0	0.001352
